record_id,bus_id,agency_id,linea,speed_kmh,distance_meters,day_of_week,time_of_day_min,scheduled_deviation_min,travel_time_to_next_stop_sec
72814603,"297","50","163",0.00,968,6,1215,0.00,968
72814602,"485","50","L3",38.00,581,6,1215,0.00,55
72814601,"24","50","169",30.00,220,6,1215,-9.00,10
72814600,"1013","50","D8",19.00,377,6,1215,12.00,791
72814599,"924","50","102",37.00,1438,6,1215,-4.00,10
72814598,"245","50","L40",25.00,1177,6,1215,5.00,469
72814597,"624","50","127",32.00,1023,6,1215,0.00,115
72814596,"536","50","142",0.00,1331,6,1215,0.00,1331
72814595,"559","50","187",22.00,1161,6,1215,6.00,550
72814594,"575","50","125",4.00,1559,6,1215,-1.00,1343
72814593,"614","50","102",41.00,1768,6,1215,7.00,575
72814592,"359","50","103",20.00,1358,6,1215,-19.00,10
72814591,"269","50","145",4.00,740,6,1215,0.00,666
72814590,"956","50","104",12.00,609,6,1215,2.00,303
72814589,"693","50","148",33.00,1369,6,1215,-12.00,10
72814588,"32","50","D1",28.00,1908,6,1215,2.00,365
72814587,"224","50","137",0.00,1772,6,1215,0.00,1772
72814586,"776","50","112",35.00,733,6,1215,4.00,315
72814585,"662","50","149",2.00,763,6,1215,0.00,763
72814584,"131","50","149",0.00,1680,6,1215,0.00,1680
72814583,"240","50","130",0.00,945,6,1215,0.00,945
72814582,"139","50","121",2.00,485,6,1215,-8.00,10
72814581,"40","50","109",24.00,1740,6,1215,0.00,261
72814580,"926","50","L15",25.00,1252,6,1215,0.00,180
72814579,"23","50","102",0.00,1790,6,1215,0.00,1790
72814578,"986","50","100",21.00,207,6,1215,0.00,35
72814577,"732","50","128",7.00,1943,6,1215,0.00,999
72814576,"2","50","103",40.00,464,6,1215,-9.00,10
72814575,"722","50","103",50.00,727,6,1215,0.00,52
72814574,"748","50","148",32.00,989,6,1215,0.00,111
72814573,"168","50","128",17.00,1158,6,1215,5.00,545
72814572,"215","50","137",23.00,857,6,1215,9.00,674
72814571,"553","50","157",39.00,1993,6,1215,-2.00,64
72814570,"755","50","60",4.00,1673,6,1215,2.00,1626
72814569,"580","50","137",24.00,1860,6,1215,12.00,999
72814568,"50","50","109",30.00,440,6,1215,3.00,233
72814567,"472","50","181",14.00,1865,6,1215,0.00,480
72814566,"749","50","169",8.00,558,6,1215,0.00,251
72814565,"963","50","103",0.00,809,6,1215,0.00,809
72814564,"517","50","L2",0.00,1660,6,1215,0.00,1660
72814563,"411","50","180",23.00,30,6,1215,0.00,10
72814562,"950","50","183",0.00,1871,6,1215,0.00,1800
72814561,"242","50","137",16.00,603,6,1215,10.00,736
72814560,"574","50","144",28.00,1019,6,1215,10.00,731
72814559,"826","50","125",9.00,1175,6,1215,12.00,1190
72814558,"34","50","110",16.00,1497,6,1215,0.00,337
72814557,"142","50","116",29.00,573,6,1215,7.00,491
72814556,"441","50","111",18.00,930,6,1215,0.00,186
72814555,"151","50","116",0.00,959,6,1215,0.00,959
72814554,"364","50","158",1.00,1626,6,1215,0.00,1626
72814553,"126","50","116",24.00,1922,6,1215,11.00,948
72814552,"642","50","124",24.00,1654,6,1215,-10.00,10
72814551,"41","50","L9",11.00,527,6,1215,5.00,472
72814550,"256","50","60",39.00,566,6,1215,7.00,472
72814549,"599","50","110",0.00,963,6,1215,0.00,963
72814548,"878","50","D8",44.00,463,6,1215,0.00,38
72814547,"1111","50","L36",41.00,1663,6,1215,-6.00,10
72814546,"1054","50","CE1",11.00,407,6,1215,0.00,133
72814545,"376","50","163",2.00,1189,6,1215,-14.00,349
72814544,"643","50","130",38.00,254,6,1215,8.00,504
72814543,"1145","50","CE2",12.00,588,6,1215,0.00,176
72814542,"283","50","144",13.00,337,6,1215,12.00,813
72814541,"663","50","103",9.00,660,6,1215,0.00,264
72814540,"91","50","103",1.00,406,6,1215,0.00,406
72814539,"51","50","192",31.00,5470,6,1215,0.00,635
72814538,"176","50","127",1.00,5160,6,1215,8.00,1800
72814537,"278","50","142",4.00,610,6,1215,14.00,1389
72814536,"690","50","145",20.00,337,6,1215,8.00,541
72814535,"906","50","L15",0.00,1067,6,1215,0.00,1067
72814534,"955","50","145",0.00,1716,6,1215,0.00,1716
72814533,"183","50","L28",41.00,510,6,1215,3.00,225
72814532,"435","50","192",26.00,630,6,1215,0.00,87
72814531,"377","50","199",1.00,1191,6,1215,0.00,1191
72814530,"520","50","199",0.00,540,6,1215,0.00,540
72814529,"797","50","145",7.00,520,6,1215,0.00,267
72814528,"991","50","148",29.00,1833,6,1215,9.00,768
72814527,"773","50","L35",30.00,625,6,1215,9.00,615
72814526,"814","50","175",12.00,1046,6,1215,0.00,314
72814525,"427","50","163",12.00,311,6,1215,2.00,213
72814524,"354","50","158",7.00,1934,6,1215,-2.00,875
72814523,"546","50","CE1",2.00,382,6,1215,0.00,382
72814522,"1088","50","175",1.00,435,6,1215,0.00,435
72814521,"938","50","60",2.00,740,6,1215,1.00,800
72814520,"925","50","181",9.00,1393,6,1215,0.00,557
72814519,"327","50","148",42.00,1442,6,1215,0.00,124
72814518,"415","50","151",34.00,540,6,1215,0.00,57
72814517,"1053","50","CE1",20.00,1814,6,1215,0.00,327
72814516,"447","50","195",35.00,358,6,1215,0.00,37
72814515,"99","50","111",11.00,1161,6,1215,7.00,800
72814514,"480","50","183",32.00,875,6,1215,15.00,998
72814513,"7","50","110",21.00,536,6,1215,-1.00,32
72814512,"318","50","199",19.00,1677,6,1215,20.00,1518
72814511,"65","50","112",0.00,651,6,1215,0.00,651
72814510,"589","50","145",31.00,554,6,1215,0.00,64
72814509,"245","50","L40",21.00,411,6,1215,10.00,670
72814508,"499","50","180",17.00,285,6,1215,1.00,120
72814507,"644","50","163",16.00,1064,6,1215,0.00,239
72814506,"241","50","L4",8.00,1187,6,1215,7.00,954
72814505,"1053","50","CE1",0.00,1500,6,1215,0.00,1500
72814504,"462","50","174",1.00,1630,6,1215,0.00,1630
72814503,"557","50","175",55.00,1998,6,1215,0.00,131
72814502,"1122","50","105",17.00,673,6,1215,-5.00,10
72814501,"598","50","L4",27.00,1846,6,1215,9.00,786
72814500,"204","50","110",34.00,1854,6,1215,4.00,436
72814499,"383","50","158",33.00,1078,6,1215,3.00,298
72814498,"533","50","L1",35.00,1298,6,1215,-2.00,14
72814497,"367","50","151",18.00,549,6,1215,1.00,170
72814496,"137","50","121",16.00,1239,6,1215,0.00,279
72814495,"758","50","147",32.00,1448,6,1215,0.00,163
72814494,"769","50","181",1.00,757,6,1215,0.00,757
72814493,"991","50","148",0.00,1462,6,1215,0.00,1462
72814492,"859","50","CE1",22.00,1308,6,1215,0.00,214
72814491,"223","50","137",1.00,222,6,1215,0.00,222
72814490,"147","50","121",19.00,1364,6,1215,0.00,258
72814489,"713","50","111",15.00,1942,6,1215,0.00,466
72814488,"277","50","144",23.00,1720,6,1215,3.00,449
72814487,"796","50","124",27.00,782,6,1215,0.00,104
72814486,"162","50","195",17.00,1693,6,1215,0.00,359
72814485,"983","50","183",24.00,1465,6,1215,17.00,1240
72814484,"568","50","175",35.00,1702,6,1215,0.00,175
72814483,"121","50","121",12.00,1984,6,1215,-10.00,10
72814482,"705","50","115",8.00,200,6,1215,8.00,570
72814481,"219","50","125",2.00,610,6,1215,1.00,670
72814480,"501","50","185",51.00,466,6,1215,6.00,393
72814479,"250","50","144",3.00,752,6,1215,0.00,752
72814478,"900","50","163",35.00,285,6,1215,0.00,29
72814477,"1075","50","191",25.00,892,6,1215,0.00,128
72814476,"190","50","195",22.00,1386,6,1215,0.00,227
72814475,"1126","50","143",7.00,442,6,1215,4.00,467
72814474,"168","50","128",0.00,1828,6,1215,0.00,1800
72814473,"535","50","149",31.00,1783,6,1215,0.00,207
72814472,"618","50","128",1.00,1020,6,1215,0.00,1020
72814471,"600","50","128",7.00,490,6,1215,14.00,1092
72814470,"607","50","116",6.00,853,6,1215,0.00,512
72814469,"291","50","142",0.00,1918,6,1215,0.00,1800
72814468,"546","50","CE1",0.00,1488,6,1215,0.00,1488
72814467,"928","50","103",15.00,1142,6,1215,0.00,274
72814466,"118","50","121",28.00,1598,6,1215,0.00,205
72814465,"828","50","183",36.00,312,6,1215,15.00,931
72814464,"233","50","195",9.00,339,6,1215,0.00,136
72814463,"404","50","151",28.00,1275,6,1215,1.00,224
72814462,"87","50","100",5.00,497,6,1215,0.00,358
72814461,"66","50","21",2.00,870,6,1215,0.00,870
72814460,"329","50","147",0.00,423,6,1215,0.00,423
72814459,"769","50","181",0.00,696,6,1215,0.00,696
72814458,"1106","50","109",28.00,926,6,1215,0.00,119
72814457,"1085","50","174",17.00,1751,6,1215,0.00,371
72814456,"1050","50","CE1",0.00,764,6,1215,0.00,764
72814455,"405","50","199",0.00,900,6,1215,0.00,900
72814454,"384","50","151",2.00,1873,6,1215,0.00,1800
72814453,"989","50","174",12.00,279,6,1215,0.00,84
72814452,"233","50","195",0.00,1280,6,1215,0.00,1280
72814451,"262","50","144",29.00,1638,6,1215,17.00,1223
72814450,"709","50","100",0.00,1782,6,1215,0.00,1782
72814449,"416","50","175",26.00,338,6,1215,-6.00,10
72814448,"668","50","124",56.00,293,6,1215,10.00,619
72814447,"481","50","181",26.00,1479,6,1215,15.00,1105
72814446,"437","50","169",24.00,1315,6,1215,20.00,1397
72814445,"912","50","105",23.00,1938,6,1215,5.00,603
72814444,"308","50","163",6.00,261,6,1215,0.00,157
72814443,"196","50","128",0.00,1909,6,1215,0.00,1800
72814442,"482","50","109",11.00,1265,6,1215,0.00,414
72814441,"81","50","21",30.00,359,6,1215,0.00,43
72814440,"593","50","127",4.00,487,6,1215,-9.00,10
72814439,"11","50","103",33.00,875,6,1215,0.00,95
72814438,"405","50","199",1.00,833,6,1215,0.00,833
72814437,"521","50","L3",30.00,1309,6,1215,1.00,217
72814436,"792","50","60",8.00,270,6,1215,0.00,122
72814435,"205","50","124",5.00,1548,6,1215,-9.00,575
72814434,"90","50","109",49.00,1959,6,1215,0.00,144
72814433,"25","50","21",7.00,1454,6,1215,0.00,748
72814432,"140","50","169",30.00,980,6,1215,20.00,1318
72814431,"701","50","163",12.00,502,6,1215,-14.00,10
72814430,"612","50","175",27.00,1758,6,1215,0.00,234
72814429,"819","50","195",24.00,244,6,1215,0.00,37
72814428,"510","50","188",9.00,1269,6,1215,-5.00,208
72814427,"156","50","147",25.00,1115,6,1215,10.00,761
72814426,"10","50","21",23.00,423,6,1215,0.00,66
72814425,"809","50","169",20.00,1361,6,1215,-5.00,10
72814424,"429","50","188",21.00,1223,6,1215,12.00,930
72814423,"598","50","L4",27.00,1813,6,1215,5.00,542
72814422,"192","50","195",11.00,1822,6,1215,0.00,596
72814421,"1105","50","105",19.00,401,6,1215,18.00,1156
72814420,"446","50","185",5.00,471,6,1215,0.00,339
72814419,"617","50","113",0.00,373,6,1215,0.00,373
72814418,"897","50","155",40.00,1636,6,1215,1.00,207
72814417,"1018","50","128",19.00,271,6,1215,-10.00,10
72814416,"325","50","163",2.00,462,6,1215,10.00,1062
72814415,"201","50","L6",24.00,1428,6,1215,10.00,814
72814414,"934","50","145",38.00,1990,6,1215,0.00,189
72814413,"422","50","181",11.00,1363,6,1215,0.00,446
72814412,"979","50","60",34.00,707,6,1215,14.00,915
72814411,"565","50","100",1.00,1624,6,1215,20.00,1800
72814410,"789","50","113",1.00,656,6,1215,19.00,1796
72814409,"804","50","105",40.00,1613,6,1215,0.00,145
72814408,"679","50","102",21.00,958,6,1215,0.00,164
72814407,"529","50","180",1.00,969,6,1215,0.00,969
72814406,"954","50","102",17.00,1810,6,1215,0.00,383
72814405,"822","50","195",38.00,244,6,1215,0.00,23
72814404,"1014","50","109",1.00,1429,6,1215,0.00,1429
72814403,"921","50","185",26.00,325,6,1215,0.00,45
72814402,"474","50","174",0.00,1803,6,1215,0.00,1800
72814401,"649","50","163",1.00,1074,6,1215,8.00,1554
72814400,"660","50","185",37.00,883,6,1215,20.00,1286
72814399,"523","50","148",0.00,1355,6,1215,0.00,1355
72814398,"861","50","156",11.00,665,6,1215,0.00,218
72814397,"802","50","185",35.00,586,6,1215,18.00,1140
72814396,"382","50","191",17.00,809,6,1215,0.00,171
72814395,"526","50","147",0.00,1485,6,1215,0.00,1485
72814394,"216","50","L23",48.00,653,6,1215,11.00,709
72814393,"768","50","149",6.00,1899,6,1215,0.00,1139
72814392,"452","50","192",0.00,579,6,1215,0.00,579
72814391,"116","50","121",26.00,425,6,1215,15.00,959
72814390,"409","50","174",9.00,878,6,1215,0.00,351
72814389,"992","50","185",1.00,575,6,1215,0.00,575
72814388,"319","50","113",0.00,725,6,1215,0.00,725
72814387,"706","50","183",2.00,1681,6,1215,9.00,1800
72814386,"324","50","151",15.00,870,6,1215,3.00,389
72814385,"750","50","103",32.00,1620,6,1215,0.00,182
72814384,"672","50","180",0.00,1932,6,1215,0.00,1800
72814383,"789","50","113",41.00,705,6,1215,10.00,662
72814382,"961","50","105",17.00,1065,6,1215,1.00,286
72814381,"591","50","169",0.00,448,6,1215,0.00,448
72814380,"158","50","115",0.00,1064,6,1215,0.00,1064
72814379,"152","50","121",5.00,1778,6,1215,0.00,1280
72814378,"311","50","191",0.00,1362,6,1215,0.00,1362
72814377,"312","50","149",0.00,1203,6,1215,0.00,1203
72814376,"601","50","145",34.00,1731,6,1215,0.00,183
72814375,"556","50","125",0.00,1386,6,1215,0.00,1386
72814374,"109","50","121",12.00,1158,6,1215,13.00,1127
72814373,"398","50","144",32.00,1552,6,1215,9.00,715
72814372,"507","50","187",20.00,476,6,1215,0.00,86
72814371,"351","50","157",22.00,1423,6,1215,5.00,533
72814370,"113","50","62",3.00,1232,6,1215,9.00,1772
72814369,"273","50","144",14.00,461,6,1215,0.00,119
72814368,"438","50","175",0.00,1253,6,1215,0.00,1253
72814367,"794","50","21",22.00,472,6,1215,0.00,77
72814366,"227","50","L8",19.00,1641,6,1215,6.00,671
72814365,"407","50","181",26.00,346,6,1215,0.00,48
72814364,"549","50","130",30.00,1132,6,1215,13.00,916
72814363,"771","50","185",0.00,1400,6,1215,0.00,1400
72814362,"370","50","158",23.00,793,6,1215,0.00,124
72814361,"1098","50","21",10.00,781,6,1215,5.00,581
72814360,"117","50","62",2.00,715,6,1215,0.00,715
72814359,"475","50","183",25.00,1033,6,1215,0.00,149
72814358,"567","50","128",2.00,1415,6,1215,-8.00,935
72814357,"776","50","112",32.00,1362,6,1215,-2.00,33
72814356,"339","50","175",11.00,953,6,1215,0.00,312
72814355,"477","50","130",14.00,988,6,1215,0.00,254
72814354,"321","50","113",13.00,420,6,1215,14.00,956
72814353,"265","50","60",7.00,1967,6,1215,0.00,1012
72814352,"1039","50","115",31.00,841,6,1215,7.00,518
72814351,"194","50","124",18.00,1427,6,1215,0.00,285
72814350,"687","50","174",3.00,1687,6,1215,0.00,1687
72814349,"110","50","116",0.00,1492,6,1215,0.00,1492
72814348,"953","50","110",2.00,418,6,1215,0.00,418
72814347,"237","50","127",27.00,17500,6,1215,0.00,1800
72814346,"44","50","100",1.00,1347,6,1215,0.00,1347
72814345,"214","50","125",16.00,1144,6,1215,-2.00,137
72814344,"671","50","191",5.00,345,6,1215,4.00,488
72814343,"574","50","144",25.00,1690,6,1215,20.00,1443
72814342,"682","50","151",1.00,1237,6,1215,0.00,1237
72814341,"473","50","183",1.00,1862,6,1215,9.00,1800
72814340,"22","50","21",32.00,710,6,1215,0.00,80
72814339,"754","50","180",16.00,211,6,1215,0.00,47
72814338,"178","50","125",7.00,1124,6,1215,0.00,578
72814337,"454","50","192",5.00,1779,6,1215,0.00,1281
72814336,"786","50","100",33.00,232,6,1215,19.00,1165
72814335,"929","50","149",7.00,492,6,1215,-15.00,10
72814334,"652","50","183",12.00,515,6,1215,0.00,155
72814333,"514","50","130",38.00,1798,6,1215,5.00,470
72814332,"111","50","104",0.00,1614,6,1215,0.00,1614
72814331,"630","50","174",31.00,1333,6,1215,0.00,155
72814330,"322","50","149",1.00,1473,6,1215,0.00,1473
72814329,"954","50","102",2.00,1281,6,1215,2.00,1401
72814328,"665","50","169",0.00,530,6,1215,0.00,530
72814327,"143","50","117",2.00,1005,6,1215,0.00,1005
72814326,"993","50","157",38.00,923,6,1215,5.00,387
72814325,"98","50","100",21.00,402,6,1215,0.00,69
72814324,"253","50","199",12.00,1144,6,1215,10.00,943
72814323,"54","50","103",34.00,1944,6,1215,0.00,206
72814322,"503","50","181",56.00,384,6,1215,10.00,625
72814321,"125","50","117",1.00,1938,6,1215,0.00,1800
72814320,"548","50","181",1.00,594,6,1215,0.00,594
72814319,"348","50","158",22.00,1697,6,1215,10.00,878
72814318,"19","50","112",40.00,712,6,1215,-8.00,10
72814317,"173","50","137",1.00,1054,6,1215,0.00,1054
72814316,"397","50","191",0.00,955,6,1215,0.00,955
72814315,"762","50","151",24.00,1997,6,1215,0.00,300
72814314,"72","50","L9",32.00,657,6,1215,15.00,974
72814313,"606","50","175",22.00,382,6,1215,10.00,663
72814312,"249","50","145",22.00,1615,6,1215,4.00,504
72814311,"605","50","185",2.00,1654,6,1215,0.00,1654
72814310,"516","50","156",1.00,439,6,1215,0.00,439
72814309,"808","50","195",35.00,1302,6,1215,0.00,134
72814308,"500","50","187",17.00,1644,6,1215,16.00,1308
72814307,"396","50","163",46.00,626,6,1215,1.00,109
72814306,"700","50","128",2.00,1887,6,1215,4.00,1800
72814305,"113","70","329",5.00,1000,6,1215,0.00,720
72814304,"12","70","370",22.00,359,6,1215,-12.00,10
72814303,"94","70","300",39.00,1709,6,1215,11.00,818
72814302,"2","70","300",30.00,1639,6,1215,7.00,617
72814301,"25","70","329",29.00,1451,6,1215,1.00,240
72814300,"3","70","328",2.00,18320,6,1215,0.00,1800
72814299,"14","70","370",15.00,570,6,1215,-10.00,10
72814298,"6","70","306",24.00,1256,6,1215,9.00,728
72814297,"7","70","370",0.00,771,6,1215,0.00,771
72814296,"95","70","306",12.00,1250,6,1215,0.00,375
72814295,"112","70","316",17.00,312,6,1215,0.00,66
72814294,"9","70","300",0.00,1324,6,1215,0.00,1324
72814293,"76","70","329",12.00,1041,6,1215,0.00,312
72814292,"104","70","306",31.00,858,6,1215,5.00,400
72814291,"72","70","316",30.00,1735,6,1215,0.00,208
72814290,"19","70","17",0.00,997,6,1215,0.00,997
72814289,"162","70","306",38.00,721,6,1215,4.00,308
72814288,"154","70","306",34.00,1270,6,1215,0.00,134
72814287,"103","70","17",0.00,1215,6,1215,0.00,1215
72814286,"152","70","329",27.00,1579,6,1215,0.00,211
72814285,"124","70","306",33.00,1783,6,1215,0.00,195
72814284,"117","70","370",21.00,801,6,1215,16.00,1097
72814283,"114","70","370",8.00,702,6,1215,0.00,316
72814282,"96","70","330",27.00,1783,6,1215,-11.00,10
72814281,"46","70","17",23.00,609,6,1215,13.00,875
72814280,"67","70","300",30.00,1497,6,1215,10.00,780
72814279,"101","70","328",0.00,1363,6,1215,0.00,1363
72814278,"160","70","328",30.00,438,6,1215,8.00,533
72814277,"106","70","316",0.00,1080,6,1215,0.00,1080
72814276,"102","70","300",27.00,1849,6,1215,13.00,1027
72814275,"101","70","328",0.00,1661,6,1215,0.00,1661
